Time Series artificial accelerogram: 1
 
Time Step: 0.01000 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.01000	      -0.19821	                              
       0.02000	      -0.15695	                              
       0.03000	      -0.07623	                              
       0.04000	      -0.05385	                              
       0.05000	      -0.05617	                              
       0.06000	      -0.06638	                              
       0.07000	      -0.06549	                              
       0.08000	      -0.06455	                              
       0.09000	      -0.06207	                              
       0.10000	      -0.06434	                              
       0.11000	      -0.06681	                              
       0.12000	      -0.07146	                              
       0.13000	      -0.07186	                              
       0.14000	      -0.06910	                              
       0.15000	      -0.06232	                              
       0.16000	      -0.05697	                              
       0.17000	      -0.05325	                              
       0.18000	      -0.05282	                              
       0.19000	      -0.05314	                              
       0.20000	      -0.05457	                              
       0.21000	      -0.05571	                              
       0.22000	      -0.05759	                              
       0.23000	      -0.05894	                              
       0.24000	      -0.05859	                              
       0.25000	      -0.05317	                              
       0.26000	      -0.04170	                              
       0.27000	      -0.02585	                              
       0.28000	      -0.01092	                              
       0.29000	      -0.00167	                              
       0.30000	      -0.00025	                              
       0.31000	      -0.00497	                              
       0.32000	      -0.01238	                              
       0.33000	      -0.01928	                              
       0.34000	      -0.02392	                              
       0.35000	      -0.02583	                              
       0.36000	      -0.02456	                              
       0.37000	      -0.01984	                              
       0.38000	      -0.01169	                              
       0.39000	      -0.00182	                              
       0.40000	       0.00750	                              
       0.41000	       0.01361	                              
       0.42000	       0.01505	                              
       0.43000	       0.01052	                              
       0.44000	      -0.00059	                              
       0.45000	      -0.01919	                              
       0.46000	      -0.04533	                              
       0.47000	      -0.07776	                              
       0.48000	      -0.11113	                              
       0.49000	      -0.13614	                              
       0.50000	      -0.14426	                              
       0.51000	      -0.13521	                              
       0.52000	      -0.11602	                              
       0.53000	      -0.09345	                              
       0.54000	      -0.07196	                              
       0.55000	      -0.05824	                              
       0.56000	      -0.06253	                              
       0.57000	      -0.07531	                              
       0.58000	      -0.07659	                              
       0.59000	      -0.05345	                              
       0.60000	      -0.00226	                              
       0.61000	       0.04884	                              
       0.62000	       0.01685	                              
       0.63000	      -0.02735	                              
       0.64000	      -0.05447	                              
       0.65000	      -0.06059	                              
       0.66000	      -0.03420	                              
       0.67000	       0.01438	                              
       0.68000	       0.07221	                              
       0.69000	       0.12114	                              
       0.70000	       0.14883	                              
       0.71000	       0.15830	                              
       0.72000	       0.15498	                              
       0.73000	       0.14259	                              
       0.74000	       0.12070	                              
       0.75000	       0.08940	                              
       0.76000	       0.05035	                              
       0.77000	       0.00946	                              
       0.78000	      -0.02619	                              
       0.79000	      -0.05155	                              
       0.80000	      -0.06744	                              
       0.81000	      -0.07802	                              
       0.82000	      -0.08705	                              
       0.83000	      -0.09547	                              
       0.84000	      -0.10395	                              
       0.85000	      -0.11490	                              
       0.86000	      -0.13195	                              
       0.87000	      -0.15658	                              
       0.88000	      -0.18584	                              
       0.89000	      -0.21244	                              
       0.90000	      -0.22760	                              
