node1,node2
163,1536
163,2563
163,2564
163,1030
163,1544
163,523
163,530
163,1530
163,22
163,1558
163,2077
163,546
163,1571
163,1572
163,1573
163,1060
163,1575
163,2600
163,1065
163,42
163,2604
163,1069
163,1070
163,563
163,3125
163,1590
163,55
163,1594
163,2116
163,3653
163,1098
163,1611
163,1099
163,2638
163,1106
163,1110
163,1113
163,602
163,1114
163,606
163,2659
163,1127
163,1130
163,2667
163,1136
163,2673
163,624
163,1139
163,1650
163,2173
163,2175
163,2177
163,129
163,1153
163,1159
163,1675
163,141
163,145
163,658
163,659
163,2196
163,1685
163,2200
163,1689
163,2202
163,1178
163,2204
163,1691
163,1696
163,174
163,689
163,1715
163,1717
163,1205
163,1206
163,1207
163,2232
163,188
163,189
163,191
163,1728
163,1729
163,1218
163,1219
163,1734
163,1224
163,1225
163,2248
163,2251
163,714
163,717
163,2259
163,727
163,2265
163,219
163,2274
163,1253
163,743
163,744
163,2280
163,1257
163,237
163,2286
163,1775
163,757
163,2295
163,1784
163,2296
163,1274
163,2298
163,765
163,1277
163,1792
163,769
163,1286
163,1799
163,266
163,2316
163,781
163,1807
163,1303
163,1305
163,793
163,800
163,290
163,1831
163,813
163,309
163,1334
163,1333
163,2361
163,1850
163,2363
163,1872
163,1362
163,856
163,346
163,2396
163,1890
163,1379
163,1380
163,1905
163,380
163,1404
163,1410
163,390
163,395
163,910
163,402
163,2451
163,1943
163,415
163,422
163,935
163,940
163,942
163,1457
163,1971
163,1467
163,448
163,961
163,966
163,2518
163,982
163,2521
163,1498
163,1515
163,2039
163,2554
163,2557
402,163
402,681
402,403
402,538
402,219
659,163
659,11
659,397
659,624
659,625
659,695
1696,163
1696,1769
1696,2250
1696,2330
1696,1771
1696,1872
1696,1971
1696,1334
1696,1943
1696,1114
1696,2175
2295,881
2295,2667
2295,163
2295,427
1274,163
1274,427
1274,3412
1274,1303
1274,1305
1274,343
1286,1136
1286,3040
1286,163
1544,163
1544,1206
1544,566
2600,1409
2600,2786
2600,163
2600,523
2600,2220
2600,3676
2363,129
2363,163
2363,3568
2363,1969
2363,2165
2363,1719
1905,1834
1905,163
1905,55
1611,1153
1611,163
1611,1380
1611,100
1611,1379
141,1184
141,163
141,188
1807,2490
1807,163
1110,1728
1110,1729
1110,163
1110,1016
1110,793
174,2409
174,163
174,501
174,503
2521,2529
2521,163
2521,145
2521,3217
2521,2164
1792,2067
1792,163
1792,430
1792,582
1675,1153
1675,163
1334,1696
1334,793
1334,1130
1334,163
813,163
813,1523
1799,1424
1799,163
1799,2205
1799,727
1943,1696
1943,163
1943,1936
2077,163
2077,3205
2077,743
2077,744
2077,2030
765,163
769,163
769,764
781,1184
781,163
781,1533
781,846
940,163
940,934
942,1153
942,163
942,2919
1590,163
1590,965
1590,910
1734,1249
1734,163
1734,2950
1734,1715
1734,1592
1734,793
1734,3097
1872,1696
1872,163
1872,3047
1872,1257
1872,1771
2286,2280
2286,145
2286,163
390,145
390,163
1717,1441
1717,163
1717,1380
1717,941
1717,3032
1030,1136
1030,1946
1030,163
1030,1796
2274,3491
2274,163
2274,2237
2518,2298
2518,163
606,537
606,163
606,3119
800,1136
800,163
1575,1136
1575,1305
1575,163
546,3280
546,163
1070,1016
1070,793
1070,1153
1070,163
309,163
935,1136
935,163
1205,1153
1205,163
1205,3499
1205,1016
1205,793
1571,1216
1571,1218
1571,163
1571,3751
1571,343
1571,2202
1971,1696
1971,163
1971,2211
1971,995
1971,2985
1127,1153
1127,163
1127,938
1127,728
1127,793
530,163
530,343
856,1016
856,793
856,1153
856,163
2604,168
2604,2330
2604,163
2604,1631
910,902
910,1673
910,523
910,1432
910,1311
910,163
910,1573
910,811
910,1589
910,565
